MOLYBDM   SurErg  4.0500000000E+02
MOLYBDM   T-dep   4.0241276171E-01
MOLYBDM   T-melt  2.8830000000E+03
MOLYBDM   VolD0   5.0000000000E-05
MOLYBDM   VolErg  4.0500000000E+02
MOLYBDM   YldSrs  2.2500000000E+02
MOLYBDM   YldTdp  4.2000000000E-01
MOLYBDM   YngMod  3.2800000000E+02
NICKEL    BdyD0   3.5000000000E-15
NICKEL    BdyErg  1.1500000000E+02
NICKEL    Burgr   2.0773988531E-10
NICKEL    CorD0   1.0000000000E-23
NICKEL    CorErg  1.1500000000E+02
NICKEL    Densty  8.9000000000E+03
NICKEL    DfmCn*  1.0000000000E+02
NICKEL    DfmCn1  1.0000000000E-14
NICKEL    DfmCnN  1.0000000000E+01
NICKEL    DfmGsz  2.0000000000E+01
NICKEL    DfmStN  4.0000000000E+01
NICKEL    DfmSy+  1.0000000000E-02
NICKEL    DfmSy-  1.0000000000E-06
NICKEL    DfmT+   1.0000000000E+00
NICKEL    DfmT-   0.0000000000E+00
NICKEL    EnrgSr  2.0000000000E+00
NICKEL    HipCn*  2.0000000000E+00
NICKEL    HipCn1  9.0000000000E+02
NICKEL    HipCnN  7.0000000000E+00
NICKEL    HipDn+  1.0000000000E+00
NICKEL    HipDn-  6.0000000000E-01
NICKEL    HipGsz  2.0000000000E-05
NICKEL    HipPfx  1.0000000000E+02
NICKEL    HipPlt  1.0000000000E+00
NICKEL    HipPP0  1.0000000000E-01
NICKEL    HipPrd  1.0000000000E-05
NICKEL    HipRD0  6.2000000000E-01
NICKEL    HipStN  4.0000000000E+01
NICKEL    HipSy+  1.0000000000E+01
NICKEL    HipSy-  1.0000000000E-03
NICKEL    HipT+   1.0000000000E+00
NICKEL    HipT-   3.0000000000E-01
NICKEL    HipTfx  1.1512420000E+03
NICKEL    IMC     1.1000000000E+01
NICKEL    LatErg  6.0000000000E-02
NICKEL    LatSrs  6.0000000000E-03
NICKEL    n-plc   4.6000000000E+00
NICKEL    ObsErg  5.0000000000E-01
NICKEL    ObsSrs  1.3000000000E-03
NICKEL    Omega   1.0900000000E-29
NICKEL    plcErg  2.8400000000E+02
NICKEL    ShrMod  7.8475758980E+01
NICKEL    Srsplc  5.5000000000E+01
NICKEL    SurD0   4.4000000000E-12
NICKEL    SurErg  1.9900000000E+02
NICKEL    T-dep   5.7593326382E-01
NICKEL    T-melt  1.7260000000E+03
NICKEL    VolD0   6.0000000000E-05
NICKEL    VolErg  2.7100000000E+02
NICKEL    YldSrs  1.3000000000E+02
NICKEL    YldTdp  6.0000000000E-01
NICKEL    YngMod  2.1400000000E+02
POTASSIUM BdyD0   5.20000000000000E-014
POTASSIUM BdyErg  2.45000000000000E+001
POTASSIUM BrkDn   1.00000000000000E-001
POTASSIUM Burgr   4.54000000000000E-010
POTASSIUM CorD0   1.00000000000000E-025
POTASSIUM CorErg  2.45000000000000E+001
POTASSIUM DffCt   3.00000000000000E-001
POTASSIUM DfmStN  3.00000000000000E+001
POTASSIUM Eltrn   2.00000000000000E-008
POTASSIUM IMC     1.30000000000000E+001
POTASSIUM LatErg  6.40000000000000E-002
POTASSIUM LatSrs  5.36000000000000E-003
POTASSIUM n-plc   6.40000000000000E+000
POTASSIUM ObsErg  5.00000000000000E-001
POTASSIUM ObsSrs  3.00000000000000E-004
POTASSIUM Omega   7.20000000000000E-029
POTASSIUM Phnon   6.00000000000000E-010
